,company,title
62,UPTEC Computer Consultancy Ltd,COMPUTER FACULTY
63,The Phoenix Mills Ltd.,Senior Executive - Retail Design
64,LTI - Larsen & Toubro Infotech,Senior Consultant - Package Implementation
65,"Seth & Associates, Chartered Accountants",Finance Internship in Lucknow at Seth & Associates
66,Leadsark 2.0 Organic Lead Gen,Online work for students
67,EDGES0FT,Telesales Executive
68,adidas,Retail Associate
69,Gencosys,Business Development Executive
70,Confidential,Assistant Lead
71,Work From Home/ Fresher & Experience Jobs,Student
72,Vouchers Portal,Student
73,BP Services,Professor /associate assistant professor (Pathology)
74,Great Coaches HR Consultants,post for medical professor in andhra pradesh kerala madhya pradesh
75,Futures Next Services Ltd,Student
76,CEDCOSS Technologies Private Limited,Business Development Executive
77,Limitex,Lead Generator
78,Renaissance Hotels,Marketing Executive
79,Leadsguru,Student
80,Bajaj Allianz General Insurance,Senior Executive - Motor OD Claims
81,EduGorilla,Business Development Executive
82,Business Opportunity Network - B.O.N.,Student
83,Flipkart Seller Hub,Students/Freshers
84,Ayush Softech,Search Engine Optimization Analyst
85,Dr. Ravi's Multispeciality Dental Clinic,Intern
86,Bajaj Finserv,Assistant Manager - Debt Management Services - Cards(JR00089214)
87,CIEL HR,CIEL/SEL/24648: Procurement Executive-Lucknow
88,Finish Line,"JD Associate Gateway Mall, Lincoln, NE"
89,The/Nudge Institute,Product Manager
90,ENGINEER GROUP A TO Z,Urgent Hiring For Chemical Engineer
91,Webllisto Technologies,Python Developer
92,Bajaj Finserv,Manager - Payments - Acquiring Business(JR00096311)
93,Internship,Freshers
94,BIZGURUKUL PVT LTD,Fresher
95,HuntingCube Recruitment Solutions,Recruitment Researcher
96,Online Job/Business!,Online work for freshers
97,Sorted,Business Development Executive
98,ANAROCK,Anarock Property Consultant - Business Strategy & Marketing Role
99,Power Grid Corporation of India Limited,Apprenticeship Trade - CSR Executive
100,CMOTS Internet Technologies Pvt. Ltd.,Marketing Executives
101,SPACE Consultants,Job openings for associate professor ent
102,Duplex Technologies Services Pvt Ltd,Business Analyst | Lucknow
103,Power Grid Corporation of India Limited,Apprenticeship Trade - Graduate (Civil)
104,Power Grid Corporation of India Limited,Apprenticeship Trade - Graduate (Computer Science)
105,EBC Technologies,Business Analyst
106,CEDCOSS Technologies Private Limited,Research Analyst
107,VALUEDRIVE TECHNOLOGIES PRIVATE LIMITED,Spinny - City Manager - Operations
108,Computer Science & Engineering,Associate
109,Flipkart Seller Hub,Students/Freshers
110,Self Employed,Hiring for student or freshers
111,Raghu Ram India Pvt Ltd,Student Internship
112,Nutriwell,Operations Internship in Lucknow at Nutriwell
113,Flipkart Seller Hub,Students/Freshers
114,BP Services,Professor (TB &Chest)
115,3EA Global,3EA - Business Analyst - Digital Media Marketing Vertical
116,Pollinate Group,Pollinate Group - Territory Sales Manager- NGO
117,CMG,CRM Admin
118,BP Services,Professor /associate assistant professor (Pathology)
119,SPACE Consultants,Job openings for professor ent
120,UPTEC Computer Consultancy Ltd,FACULTY MATHS
121,HuntingCube Recruitment Solutions,Recruitment Researcher
122,Kaish Classes,Computer Faculty
123,Unicode Systems,HR Manager
